I (42115) main: Raw_angle: 89.51, Angle: 89.51, PID Output: -6, Delay: 5000
I (42555) main: Raw_angle: 81.13, Angle: 76.62, PID Output: 385, Delay: 4788
I (42565) main: Raw_angle: 76.62, Angle: 74.88, PID Output: 434, Delay: 4635
I (42575) main: Raw_angle: 74.88, Angle: 72.85, PID Output: 495, Delay: 4581
I (42585) main: Raw_angle: 72.85, Angle: 74.88, PID Output: 430, Delay: 4515
I (42595) main: Raw_angle: 74.88, Angle: 74.88, PID Output: 432, Delay: 4586
I (42605) main: Raw_angle: 74.88, Angle: 74.88, PID Output: 432, Delay: 4584
I (42615) main: Raw_angle: 74.88, Angle: 90.05, PID Output: -37, Delay: 4584
I (42625) main: Raw_angle: 90.05, Angle: 98.08, PID Output: -271, Delay: 5000
I (42635) main: Raw_angle: 98.08, Angle: 90.05, PID Output: -14, Delay: 4759
I (42645) main: Raw_angle: 90.05, Angle: 90.05, PID Output: -22, Delay: 5000
I (42655) main: Raw_angle: 90.05, Angle: 84.79, PID Output: 140, Delay: 5000
I (42665) main: Raw_angle: 84.79, Angle: 84.79, PID Output: 135, Delay: 4902
I (42675) main: Raw_angle: 84.79, Angle: 90.05, PID Output: -27, Delay: 4907
I (42685) main: Raw_angle: 90.05, Angle: 101.12, PID Output: -365, Delay: 5000
I (42695) main: Raw_angle: 101.12, Angle: 101.12, PID Output: -354, Delay: 4657
I (42705) main: Raw_angle: 101.12, Angle: 84.79, PID Output: 151, Delay: 4669
I (42715) main: Raw_angle: 84.79, Angle: 74.44, PID Output: 456, Delay: 4890
I (42725) main: Raw_angle: 74.44, Angle: 74.44, PID Output: 445, Delay: 4558
I (42735) main: Raw_angle: 74.44, Angle: 74.44, PID Output: 445, Delay: 4570
I (42745) main: Raw_angle: 74.44, Angle: 74.44, PID Output: 445, Delay: 4570
I (42755) main: Raw_angle: 74.44, Angle: 74.44, PID Output: 445, Delay: 4570
I (42765) main: Raw_angle: 74.44, Angle: 65.79, PID Output: 713, Delay: 4570
I (42775) main: Raw_angle: 65.79, Angle: 65.79, PID Output: 705, Delay: 4278
I (42785) main: Raw_angle: 65.79, Angle: 65.79, PID Output: 705, Delay: 4286
I (42795) main: Raw_angle: 65.79, Angle: 65.79, PID Output: 705, Delay: 4286
I (42805) main: Raw_angle: 65.79, Angle: 78.54, PID Output: 310, Delay: 4286
I (42815) main: Raw_angle: 78.54, Angle: 78.54, PID Output: 322, Delay: 4716
I (42825) main: Raw_angle: 78.54, Angle: 78.54, PID Output: 322, Delay: 4703
I (42835) main: Raw_angle: 78.54, Angle: 65.79, PID Output: 718, Delay: 4703
I (42845) main: Raw_angle: 65.79, Angle: 58.28, PID Output: 938, Delay: 4272
I (42855) main: Raw_angle: 58.28, Angle: 58.28, PID Output: 930, Delay: 4033
I (42865) main: Raw_angle: 58.28, Angle: 78.54, PID Output: 302, Delay: 4042
I (42875) main: Raw_angle: 78.54, Angle: 104.52, PID Output: -482, Delay: 4725
I (42885) main: Raw_angle: 104.52, Angle: 110.27, PID Output: -634, Delay: 4529
I (42895) main: Raw_angle: 110.27, Angle: 104.52, PID Output: -450, Delay: 4364
I (42905) main: Raw_angle: 103.52, Angle: 103.52, PID Output: -425, Delay: 4564
I (42915) main: Raw_angle: 103.52, Angle: 103.52, PID Output: -426, Delay: 4591
I (42925) main: Raw_angle: 103.52, Angle: 103.52, PID Output: -426, Delay: 4590
I (42935) main: Raw_angle: 103.52, Angle: 103.52, PID Output: -426, Delay: 4590
I (42945) main: Raw_angle: 103.52, Angle: 103.52, PID Output: -426, Delay: 4590
I (42955) main: Raw_angle: 103.52, Angle: 103.52, PID Output: -426, Delay: 4590
I (42965) main: Raw_angle: 103.52, Angle: 101.58, PID Output: -366, Delay: 4590
I (42975) main: Raw_angle: 101.58, Angle: 87.47, PID Output: 68, Delay: 4656
I (42985) main: Raw_angle: 87.47, Angle: 81.19, PID Output: 249, Delay: 4980
I (42995) main: Raw_angle: 81.19, Angle: 81.19, PID Output: 243, Delay: 4783
I (43005) main: Raw_angle: 81.19, Angle: 81.19, PID Output: 243, Delay: 4789
I (43015) main: Raw_angle: 81.19, Angle: 81.19, PID Output: 243, Delay: 4789
I (43025) main: Raw_angle: 81.19, Angle: 78.26, PID Output: 334, Delay: 4789
I (43035) main: Raw_angle: 78.26, Angle: 78.26, PID Output: 331, Delay: 4690
I (43045) main: Raw_angle: 78.26, Angle: 78.26, PID Output: 331, Delay: 4694
I (43055) main: Raw_angle: 78.26, Angle: 70.10, PID Output: 584, Delay: 4694
I (43065) main: Raw_angle: 65.29, Angle: 65.29, PID Output: 725, Delay: 4418
I (43075) main: Raw_angle: 65.29, Angle: 65.29, PID Output: 720, Delay: 4265
I (43085) main: Raw_angle: 65.29, Angle: 70.10, PID Output: 571, Delay: 4270
I (43095) main: Raw_angle: 70.10, Angle: 94.91, PID Output: -193, Delay: 4432
I (43105) main: Raw_angle: 94.91, Angle: 102.03, PID Output: -388, Delay: 4844
I (43115) main: Raw_angle: 102.03, Angle: 72.61, PID Output: 530, Delay: 4632
I (43125) main: Raw_angle: 72.61, Angle: 70.10, PID Output: 578, Delay: 4477
I (43135) main: Raw_angle: 73.70, Angle: 72.61, PID Output: 498, Delay: 4425
I (43145) main: Raw_angle: 72.61, Angle: 73.70, PID Output: 467, Delay: 4512
I (43155) main: Raw_angle: 73.70, Angle: 89.65, PID Output: -26, Delay: 4546
I (43165) main: Raw_angle: 89.65, Angle: 106.94, PID Output: -546, Delay: 5000
I (43175) main: Raw_angle: 107.19, Angle: 107.19, PID Output: -537, Delay: 4460
I (43185) main: Raw_angle: 107.19, Angle: 106.94, PID Output: -528, Delay: 4469
I (43195) main: Raw_angle: 106.94, Angle: 89.65, PID Output: 6, Delay: 4479
I (43205) main: Raw_angle: 89.65, Angle: 73.70, PID Output: 484, Delay: 5000
I (43215) main: Raw_angle: 73.70, Angle: 73.70, PID Output: 468, Delay: 4527
I (43225) main: Raw_angle: 73.70, Angle: 89.65, PID Output: -26, Delay: 4544
I (43235) main: Raw_angle: 89.65, Angle: 106.05, PID Output: -518, Delay: 5000
I (43245) main: Raw_angle: 109.07, Angle: 107.19, PID Output: -537, Delay: 4490
I (43255) main: Raw_angle: 107.19, Angle: 109.07, PID Output: -594, Delay: 4469
I (43265) main: Raw_angle: 109.07, Angle: 109.07, PID Output: -593, Delay: 4407
I (43275) main: Raw_angle: 109.07, Angle: 107.19, PID Output: -534, Delay: 4408
I (43285) main: Raw_angle: 107.19, Angle: 106.05, PID Output: -501, Delay: 4473
I (43295) main: Raw_angle: 106.05, Angle: 106.05, PID Output: -502, Delay: 4509
I (43305) main: Raw_angle: 106.05, Angle: 106.05, PID Output: -502, Delay: 4507
I (43315) main: Raw_angle: 106.05, Angle: 106.05, PID Output: -502, Delay: 4507
I (43325) main: Raw_angle: 106.05, Angle: 109.07, PID Output: -596, Delay: 4507
I (43335) main: Raw_angle: 109.07, Angle: 109.07, PID Output: -593, Delay: 4405
I (43345) main: Raw_angle: 109.07, Angle: 109.07, PID Output: -593, Delay: 4408
I (43355) main: Raw_angle: 109.07, Angle: 93.78, PID Output: -119, Delay: 4408
I (43365) main: Raw_angle: 93.78, Angle: 88.57, PID Output: 27, Delay: 4924
I (43375) main: Raw_angle: 92.28, Angle: 88.57, PID Output: 22, Delay: 5000
I (43385) main: Raw_angle: 88.57, Angle: 88.57, PID Output: 22, Delay: 5000
I (43395) main: Raw_angle: 88.57, Angle: 92.28, PID Output: -93, Delay: 5000
I (43405) main: Raw_angle: 92.28, Angle: 97.24, PID Output: -243, Delay: 4953
I (43415) main: Raw_angle: 97.24, Angle: 97.24, PID Output: -238, Delay: 4789
I (43425) main: Raw_angle: 97.24, Angle: 97.24, PID Output: -238, Delay: 4795
I (43435) main: Raw_angle: 97.24, Angle: 92.28, PID Output: -84, Delay: 4795
I (43445) main: Raw_angle: 92.28, Angle: 88.57, PID Output: 25, Delay: 4962
I (43455) main: Raw_angle: 88.57, Angle: 88.57, PID Output: 22, Delay: 5000
I (43465) main: Raw_angle: 88.57, Angle: 92.28, PID Output: -93, Delay: 5000
I (43475) main: Raw_angle: 92.28, Angle: 94.92, PID Output: -171, Delay: 4953
I (43485) main: Raw_angle: 94.92, Angle: 94.92, PID Output: -168, Delay: 4868
I (43495) main: Raw_angle: 94.92, Angle: 80.44, PID Output: 280, Delay: 4871
I (43505) main: Raw_angle: 80.44, Angle: 73.65, PID Output: 476, Delay: 4749
I (43515) main: Raw_angle: 73.65, Angle: 73.65, PID Output: 469, Delay: 4536
I (43525) main: Raw_angle: 73.65, Angle: 73.65, PID Output: 469, Delay: 4543
I (43535) main: Raw_angle: 73.65, Angle: 94.92, PID Output: -190, Delay: 4543
I (43545) main: Raw_angle: 94.92, Angle: 105.08, PID Output: -483, Delay: 4847
I (43555) main: Raw_angle: 105.08, Angle: 105.08, PID Output: -473, Delay: 4528
I (43565) main: Raw_angle: 105.08, Angle: 105.08, PID Output: -473, Delay: 4539
I (43575) main: Raw_angle: 105.08, Angle: 105.08, PID Output: -473, Delay: 4539
I (43585) main: Raw_angle: 105.08, Angle: 93.54, PID Output: -115, Delay: 4539
I (43595) main: Raw_angle: 93.54, Angle: 93.54, PID Output: -127, Delay: 4929
I (43605) main: Raw_angle: 93.54, Angle: 93.54, PID Output: -127, Delay: 4916
I (43615) main: Raw_angle: 93.54, Angle: 93.54, PID Output: -127, Delay: 4916
I (43625) main: Raw_angle: 93.54, Angle: 92.43, PID Output: -92, Delay: 4916
I (43635) main: Raw_angle: 92.43, Angle: 81.69, PID Output: 238, Delay: 4954
I (43645) main: Raw_angle: 81.69, Angle: 81.69, PID Output: 228, Delay: 4795
I (43655) main: Raw_angle: 81.69, Angle: 81.69, PID Output: 228, Delay: 4806
I (43665) main: Raw_angle: 81.69, Angle: 81.69, PID Output: 228, Delay: 4806
I (43675) main: Raw_angle: 81.69, Angle: 81.69, PID Output: 228, Delay: 4806
I (43685) main: Raw_angle: 81.69, Angle: 81.69, PID Output: 228, Delay: 4806
I (43695) main: Raw_angle: 81.69, Angle: 88.96, PID Output: 2, Delay: 4806
I (43705) main: Raw_angle: 88.96, Angle: 106.83, PID Output: -543, Delay: 5000
I (43715) main: Raw_angle: 111.47, Angle: 111.14, PID Output: -659, Delay: 4463
I (43725) main: Raw_angle: 111.14, Angle: 111.14, PID Output: -655, Delay: 4337
I (43735) main: Raw_angle: 111.14, Angle: 111.14, PID Output: -655, Delay: 4341
I (43745) main: Raw_angle: 111.14, Angle: 111.14, PID Output: -655, Delay: 4341
I (43755) main: Raw_angle: 111.14, Angle: 111.14, PID Output: -655, Delay: 4341
I (43765) main: Raw_angle: 111.14, Angle: 106.83, PID Output: -521, Delay: 4341
I (43775) main: Raw_angle: 106.83, Angle: 86.72, PID Output: 97, Delay: 4487
I (43785) main: Raw_angle: 86.72, Angle: 85.02, PID Output: 130, Delay: 4948
I (43795) main: Raw_angle: 85.02, Angle: 85.02, PID Output: 128, Delay: 4912
I (43805) main: Raw_angle: 85.02, Angle: 85.02, PID Output: 128, Delay: 4915
I (43815) main: Raw_angle: 85.02, Angle: 85.02, PID Output: 128, Delay: 4915
I (43825) main: Raw_angle: 85.02, Angle: 85.02, PID Output: 128, Delay: 4915
I (43835) main: Raw_angle: 85.02, Angle: 85.02, PID Output: 128, Delay: 4915
I (43845) main: Raw_angle: 85.02, Angle: 102.81, PID Output: -423, Delay: 4915
I (43855) main: Raw_angle: 104.10, Angle: 104.10, PID Output: -445, Delay: 4593
I (43865) main: Raw_angle: 104.10, Angle: 104.10, PID Output: -444, Delay: 4570
I (43875) main: Raw_angle: 104.10, Angle: 104.10, PID Output: -444, Delay: 4571
I (43885) main: Raw_angle: 104.10, Angle: 104.10, PID Output: -444, Delay: 4571
I (43895) main: Raw_angle: 104.10, Angle: 105.92, PID Output: -500, Delay: 4571
I (43905) main: Raw_angle: 105.92, Angle: 105.92, PID Output: -498, Delay: 4510
I (43915) main: Raw_angle: 105.92, Angle: 104.10, PID Output: -442, Delay: 4512
I (43925) main: Raw_angle: 104.10, Angle: 102.81, PID Output: -404, Delay: 4573
I (43935) main: Raw_angle: 102.81, Angle: 76.22, PID Output: 419, Delay: 4614
I (43945) main: Raw_angle: 76.22, Angle: 76.22, PID Output: 392, Delay: 4598
I (43955) main: Raw_angle: 76.22, Angle: 76.22, PID Output: 392, Delay: 4627
I (43965) main: Raw_angle: 76.22, Angle: 76.22, PID Output: 392, Delay: 4627
I (43975) main: Raw_angle: 76.22, Angle: 88.31, PID Output: 17, Delay: 4627
I (43985) main: Raw_angle: 88.31, Angle: 115.64, PID Output: -817, Delay: 5000
I (43995) main: Raw_angle: 115.80, Angle: 115.80, PID Output: -795, Delay: 4165
I (44005) main: Raw_angle: 114.09, Angle: 115.64, PID Output: -790, Delay: 4188
I (44015) main: Raw_angle: 115.64, Angle: 114.09, PID Output: -742, Delay: 4194
I (44025) main: Raw_angle: 114.09, Angle: 114.09, PID Output: -743, Delay: 4246
I (44035) main: Raw_angle: 114.09, Angle: 114.09, PID Output: -743, Delay: 4245
I (44045) main: Raw_angle: 114.09, Angle: 114.09, PID Output: -743, Delay: 4245
I (44055) main: Raw_angle: 114.09, Angle: 114.09, PID Output: -743, Delay: 4245
I (44065) main: Raw_angle: 114.09, Angle: 114.09, PID Output: -743, Delay: 4245
I (44075) main: Raw_angle: 114.09, Angle: 108.70, PID Output: -576, Delay: 4245
I (44085) main: Raw_angle: 108.70, Angle: 105.68, PID Output: -488, Delay: 4427
I (44095) main: Raw_angle: 105.68, Angle: 97.22, PID Output: -229, Delay: 4523
I (44105) main: Raw_angle: 97.22, Angle: 83.41, PID Output: 190, Delay: 4805
I (44115) main: Raw_angle: 83.41, Angle: 77.52, PID Output: 359, Delay: 4847
I (44125) main: Raw_angle: 80.35, Angle: 77.52, PID Output: 353, Delay: 4663
I (44135) main: Raw_angle: 77.52, Angle: 77.52, PID Output: 353, Delay: 4670
I (44145) main: Raw_angle: 77.52, Angle: 80.35, PID Output: 265, Delay: 4670
I (44155) main: Raw_angle: 80.35, Angle: 97.22, PID Output: -254, Delay: 4765
I (44165) main: Raw_angle: 97.22, Angle: 97.22, PID Output: -237, Delay: 4777
I (44175) main: Raw_angle: 97.22, Angle: 80.35, PID Output: 285, Delay: 4796
I (44185) main: Raw_angle: 80.35, Angle: 77.52, PID Output: 356, Delay: 4744
I (44195) main: Raw_angle: 77.52, Angle: 76.77, PID Output: 376, Delay: 4666
I (44205) main: Raw_angle: 76.77, Angle: 76.77, PID Output: 375, Delay: 4645
I (44215) main: Raw_angle: 76.77, Angle: 76.16, PID Output: 394, Delay: 4646
I (44225) main: Raw_angle: 76.16, Angle: 73.67, PID Output: 471, Delay: 4625
I (44235) main: Raw_angle: 75.36, Angle: 73.67, PID Output: 468, Delay: 4541
I (44245) main: Raw_angle: 73.67, Angle: 73.67, PID Output: 468, Delay: 4544
I (44255) main: Raw_angle: 73.67, Angle: 73.67, PID Output: 468, Delay: 4544
I (44265) main: Raw_angle: 73.67, Angle: 73.67, PID Output: 468, Delay: 4544
I (44275) main: Raw_angle: 73.67, Angle: 73.67, PID Output: 468, Delay: 4544
I (44285) main: Raw_angle: 73.67, Angle: 75.36, PID Output: 416, Delay: 4544
I (44295) main: Raw_angle: 75.36, Angle: 75.36, PID Output: 418, Delay: 4601
I (44305) main: Raw_angle: 75.36, Angle: 75.36, PID Output: 418, Delay: 4599
I (44315) main: Raw_angle: 75.36, Angle: 75.36, PID Output: 418, Delay: 4599
I (44325) main: Raw_angle: 75.36, Angle: 104.59, PID Output: -487, Delay: 4599
I (44335) main: Raw_angle: 104.59, Angle: 106.69, PID Output: -523, Delay: 4524
I (44345) main: Raw_angle: 102.80, Angle: 106.69, PID Output: -521, Delay: 4485
I (44355) main: Raw_angle: 106.69, Angle: 104.59, PID Output: -456, Delay: 4487
I (44365) main: Raw_angle: 104.59, Angle: 102.80, PID Output: -403, Delay: 4558
I (44375) main: Raw_angle: 102.80, Angle: 81.89, PID Output: 243, Delay: 4615
I (44385) main: Raw_angle: 81.89, Angle: 59.37, PID Output: 920, Delay: 4789
I (44395) main: Raw_angle: 59.37, Angle: 59.37, PID Output: 898, Delay: 4052
I (44405) main: Raw_angle: 59.37, Angle: 59.37, PID Output: 898, Delay: 4076
I (44415) main: Raw_angle: 59.37, Angle: 81.89, PID Output: 199, Delay: 4076
I (44425) main: Raw_angle: 81.89, Angle: 87.29, PID Output: 54, Delay: 4837
I (44435) main: Raw_angle: 87.29, Angle: 87.29, PID Output: 60, Delay: 4995
I (44445) main: Raw_angle: 87.29, Angle: 87.29, PID Output: 60, Delay: 4989
I (44455) main: Raw_angle: 87.29, Angle: 87.29, PID Output: 60, Delay: 4989
I (44465) main: Raw_angle: 87.29, Angle: 94.56, PID Output: -164, Delay: 4989
I (44475) main: Raw_angle: 97.08, Angle: 97.08, PID Output: -235, Delay: 4875
I (44485) main: Raw_angle: 97.08, Angle: 97.08, PID Output: -233, Delay: 4798
I (44495) main: Raw_angle: 97.08, Angle: 97.08, PID Output: -233, Delay: 4800
I (44505) main: Raw_angle: 97.08, Angle: 97.08, PID Output: -233, Delay: 4800
I (44515) main: Raw_angle: 97.08, Angle: 97.08, PID Output: -233, Delay: 4800
I (44525) main: Raw_angle: 97.08, Angle: 97.08, PID Output: -233, Delay: 4800
I (44535) main: Raw_angle: 97.08, Angle: 84.42, PID Output: 159, Delay: 4800
I (44545) main: Raw_angle: 84.42, Angle: 78.43, PID Output: 332, Delay: 4881
I (44555) main: Raw_angle: 78.43, Angle: 78.43, PID Output: 326, Delay: 4693
I (44565) main: Raw_angle: 78.43, Angle: 78.43, PID Output: 326, Delay: 4699
I (44575) main: Raw_angle: 78.43, Angle: 78.43, PID Output: 326, Delay: 4699
I (44585) main: Raw_angle: 74.25, Angle: 74.25, PID Output: 455, Delay: 4699
I (44595) main: Raw_angle: 74.25, Angle: 74.25, PID Output: 451, Delay: 4559
I (44605) main: Raw_angle: 74.25, Angle: 74.25, PID Output: 451, Delay: 4563
I (44615) main: Raw_angle: 74.25, Angle: 74.25, PID Output: 451, Delay: 4563
I (44625) main: Raw_angle: 74.25, Angle: 79.89, PID Output: 276, Delay: 4563
I (44635) main: Raw_angle: 79.89, Angle: 79.89, PID Output: 282, Delay: 4753
I (44645) main: Raw_angle: 79.89, Angle: 102.92, PID Output: -431, Delay: 4747
I (44655) main: Raw_angle: 102.78, Angle: 102.92, PID Output: -408, Delay: 4585
I (44665) main: Raw_angle: 102.92, Angle: 102.78, PID Output: -404, Delay: 4610
I (44675) main: Raw_angle: 102.78, Angle: 79.89, PID Output: 305, Delay: 4614
I (44685) main: Raw_angle: 79.89, Angle: 74.25, PID Output: 457, Delay: 4722
I (44695) main: Raw_angle: 74.25, Angle: 73.21, PID Output: 483, Delay: 4556
I (44705) main: Raw_angle: 73.21, Angle: 73.21, PID Output: 482, Delay: 4528
I (44715) main: Raw_angle: 73.21, Angle: 79.89, PID Output: 275, Delay: 4529
I (44725) main: Raw_angle: 79.89, Angle: 73.21, PID Output: 489, Delay: 4755
I (44735) main: Raw_angle: 73.21, Angle: 64.94, PID Output: 739, Delay: 4522
I (44745) main: Raw_angle: 63.14, Angle: 63.14, PID Output: 786, Delay: 4249
I (44755) main: Raw_angle: 63.14, Angle: 63.14, PID Output: 784, Delay: 4198
I (44765) main: Raw_angle: 63.14, Angle: 63.14, PID Output: 784, Delay: 4200
I (44775) main: Raw_angle: 63.14, Angle: 64.94, PID Output: 729, Delay: 4200
I (44785) main: Raw_angle: 64.94, Angle: 64.94, PID Output: 730, Delay: 4260
I (44795) main: Raw_angle: 62.75, Angle: 63.14, PID Output: 786, Delay: 4259
I (44805) main: Raw_angle: 63.14, Angle: 64.94, PID Output: 729, Delay: 4198
I (44815) main: Raw_angle: 64.94, Angle: 86.23, PID Output: 70, Delay: 4260
I (44825) main: Raw_angle: 86.23, Angle: 100.87, PID Output: -361, Delay: 4978
I (44835) main: Raw_angle: 100.87, Angle: 109.28, PID Output: -607, Delay: 4661
I (44845) main: Raw_angle: 109.28, Angle: 109.28, PID Output: -599, Delay: 4393
I (44855) main: Raw_angle: 109.28, Angle: 109.28, PID Output: -599, Delay: 4402
I (44865) main: Raw_angle: 109.28, Angle: 111.68, PID Output: -673, Delay: 4402
I (44875) main: Raw_angle: 111.68, Angle: 100.87, PID Output: -336, Delay: 4321
I (44885) main: Raw_angle: 100.87, Angle: 78.10, PID Output: 358, Delay: 4688
I (44895) main: Raw_angle: 78.10, Angle: 100.11, PID Output: -346, Delay: 4664
I (44905) main: Raw_angle: 100.11, Angle: 109.44, PID Output: -613, Delay: 4677
I (44915) main: Raw_angle: 109.44, Angle: 100.11, PID Output: -315, Delay: 4387
I (44925) main: Raw_angle: 100.11, Angle: 78.10, PID Output: 357, Delay: 4711
I (44935) main: Raw_angle: 78.10, Angle: 67.08, PID Output: 677, Delay: 4665
I (44945) main: Raw_angle: 67.08, Angle: 65.15, PID Output: 726, Delay: 4317
I (44955) main: Raw_angle: 65.15, Angle: 56.27, PID Output: 999, Delay: 4264
I (44965) main: Raw_angle: 56.27, Angle: 67.08, PID Output: 655, Delay: 3966
I (44975) main: Raw_angle: 67.08, Angle: 67.08, PID Output: 666, Delay: 4341
I (44985) main: Raw_angle: 67.08, Angle: 67.08, PID Output: 666, Delay: 4329
I (44995) main: Raw_angle: 67.08, Angle: 100.11, PID Output: -357, Delay: 4329
I (45005) main: Raw_angle: 100.11, Angle: 104.25, PID Output: -452, Delay: 4665
I (45015) main: Raw_angle: 104.25, Angle: 104.25, PID Output: -448, Delay: 4562
I (45025) main: Raw_angle: 102.14, Angle: 104.25, PID Output: -448, Delay: 4566
I (45035) main: Raw_angle: 104.25, Angle: 112.49, PID Output: -703, Delay: 4566
I (45045) main: Raw_angle: 112.49, Angle: 112.49, PID Output: -695, Delay: 4289
I (45055) main: Raw_angle: 112.49, Angle: 112.49, PID Output: -695, Delay: 4297
I (45065) main: Raw_angle: 112.49, Angle: 112.49, PID Output: -695, Delay: 4297
I (45075) main: Raw_angle: 112.49, Angle: 112.49, PID Output: -695, Delay: 4297
I (45085) main: Raw_angle: 112.49, Angle: 112.49, PID Output: -695, Delay: 4297
I (45095) main: Raw_angle: 111.59, Angle: 111.59, PID Output: -667, Delay: 4297
I (45105) main: Raw_angle: 111.59, Angle: 102.14, PID Output: -375, Delay: 4328
I (45115) main: Raw_angle: 102.14, Angle: 87.58, PID Output: 66, Delay: 4646
I (45125) main: Raw_angle: 87.58, Angle: 87.58, PID Output: 51, Delay: 4982
I (45135) main: Raw_angle: 87.58, Angle: 87.58, PID Output: 51, Delay: 4998
I (45145) main: Raw_angle: 87.58, Angle: 87.58, PID Output: 51, Delay: 4998
I (45155) main: Raw_angle: 87.58, Angle: 97.62, PID Output: -259, Delay: 4998
I (45165) main: Raw_angle: 97.62, Angle: 98.22, PID Output: -268, Delay: 4772
I (45175) main: Raw_angle: 98.22, Angle: 98.22, PID Output: -267, Delay: 4762
I (45185) main: Raw_angle: 98.22, Angle: 98.22, PID Output: -267, Delay: 4763
I (45195) main: Raw_angle: 98.22, Angle: 97.62, PID Output: -248, Delay: 4763
I (45205) main: Raw_angle: 97.62, Angle: 90.73, PID Output: -36, Delay: 4784
I (45215) main: Raw_angle: 90.73, Angle: 90.73, PID Output: -42, Delay: 5000
I (45225) main: Raw_angle: 90.73, Angle: 90.73, PID Output: -42, Delay: 5000
I (45235) main: Raw_angle: 90.73, Angle: 83.90, PID Output: 168, Delay: 5000
I (45245) main: Raw_angle: 83.90, Angle: 71.85, PID Output: 535, Delay: 4871
I (45255) main: Raw_angle: 71.85, Angle: 71.85, PID Output: 523, Delay: 4472
I (45265) main: Raw_angle: 71.85, Angle: 71.85, PID Output: 523, Delay: 4485
I (45275) main: Raw_angle: 71.85, Angle: 71.85, PID Output: 523, Delay: 4485
